"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 11 21:39:37 MSK 2019","Sun Aug 11 21:39:38 MSK 2019","292","","PetPostPositiveTestsWithAllFields","","PetPostPositiveTestsWithAllFields","PetPostPositiveTestsWithAllFields200","Pet endpoint POST positive test with all fields #6","test checks POST request with headers and all fields which have valid data, expected response status code 200 and well-formed json with test data"
"passed","Sun Aug 11 21:40:01 MSK 2019","Sun Aug 11 21:40:02 MSK 2019","567","","PetPutPositiveTests","","PetPutPositiveTests","PetPutPositiveTest200","Pet endpoint PUT positive test #7","test checks PUT request with valid data, expected response status code 200 and well-formed json with test data"
"passed","Sun Aug 11 21:39:22 MSK 2019","Sun Aug 11 21:39:22 MSK 2019","83","","DemoTest","","DemoTest","demoTest","demoTest()",""
"failed","Sun Aug 11 21:39:48 MSK 2019","Sun Aug 11 21:39:48 MSK 2019","290","","PetPostPositiveTestsWithRequiredFields","","PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields405","Pet endpoint POST positive test with required fields #4","test checks POST request with headers and required fields  with invalid data, expected response status code 405"
"failed","Sun Aug 11 21:39:54 MSK 2019","Sun Aug 11 21:39:55 MSK 2019","865","","PetPutPositiveTests","","PetPutPositiveTests","PetPutNoFoundTest404","Pet endpoint PUT positive test #3","test checks PUT request with nonexistent id, expected response status code 404 and Pet not found message"
"failed","Sun Aug 11 21:39:53 MSK 2019","Sun Aug 11 21:39:53 MSK 2019","848","","PetPutPositiveTests","","PetPutPositiveTests","PetPutNoFoundTest404","Pet endpoint PUT positive test #1","test checks PUT request with nonexistent id, expected response status code 404 and Pet not found message"
"failed","Sun Aug 11 21:39:57 MSK 2019","Sun Aug 11 21:39:57 MSK 2019","302","","PetPutPositiveTests","","PetPutPositiveTests","PetPutInvalidId400","Pet endpoint PUT positive test #5","test checks PUT request with invalid id, expected response status code 400 and Invalid ID supplied"
"passed","Sun Aug 11 21:39:43 MSK 2019","Sun Aug 11 21:39:44 MSK 2019","598","","PetPostPositiveTestsWithRequiredFields","","PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields200","Pet endpoint POST positive test with required fields #5","test checks POST request with headers and required fields which have valid data, expected response status code 200 and well-formed json with test data"
"passed","Sun Aug 11 21:39:42 MSK 2019","Sun Aug 11 21:39:42 MSK 2019","576","","PetPostPositiveTestsWithRequiredFields","","PetPostPositiveTestsWithRequiredFields","PetPostPositiveTestsWithRequiredFields200","Pet endpoint POST positive test with required fields #2","test checks POST request with headers and required fields which have valid data, expected response status code 200 and well-formed json with test data"
"failed","Sun Aug 11 21:39:56 MSK 2019","Sun Aug 11 21:39:57 MSK 2019","316","","PetPutPositiveTests","","PetPutPositiveTests","PetPutInvalidId400","Pet endpoint PUT positive test #4","test checks PUT request with invalid id, expected response status code 400 and Invalid ID supplied"
